labels,values,title,value_heading
"['animal', 'atom', 'stairs', 'trap', 'mean', 'crisis', 'novel', 'spirit']","[4, 5, 1, 2, 2, 9, 6, 7]",Accuracy of different algorithms,Accuracy
"['woman', 'inside', 'noon', 'text', 'gas']","[2, 3, 7, 6, 7]",Sales statistics for different items,Units sold
"['blue', 'jungle', 'radio', 'file', 'staff', 'twenty', 'loan', 'danger', 'oxygen']","[8, 4, 6, 3, 7, 7, 6, 7, 8]",Title,Values
"['muscle', 'dark', 'cannot', 'lawyer', 'ease', 'use']","[7, 1, 3, 6, 1, 5]",Accuracy of different algorithms,Accuracy
"['kid', 'play', 'bomb', 'fear', 'code', 'ice', 'pink', 'award']","[9, 5, 4, 7, 3, 3, 8, 8]",Accuracy of different algorithms,Accuracy
"['scene', 'anger', 'faith', 'wind', 'aid']","[7, 4, 2, 5, 2]",Sales statistics for different items,Units sold
"['pride', 'stroke', 'union', 'cool', 'tale', 'laugh', 'merger', 'idea']","[9, 4, 5, 7, 9, 6, 8, 1]",Title,Values
"['honor', 'writer', 'vice']","[30, 70, 60]",Accuracy of different algorithms,Accuracy
"['dealer', 'wave', 'entry', 'energy']","[8, 2, 6, 8]",Title,Values
"['cotton', 'party', 'secret', 'hair', 'smell', 'market']","[6, 5, 1, 3, 7, 4]",Title,Values
"['switch', 'poem', 'view']","[40, 40, 70]",Title,Values
"['winter', 'age']","[4, 4]",Accuracy of different algorithms,Accuracy
"['south', 'brick', 'deck', 'tube', 'rule', 'study']","[10, 60, 50, 60, 10, 20]",Accuracy of different algorithms,Accuracy
"['oxygen', 'host', 'noise', 'autumn', 'verse']","[2, 2, 5, 4, 3]",Most preferred objects,Number of People
"['desire', 'mud']","[2, 1]",Most preferred objects,Number of People
"['score', 'path', 'bride', 'meat', 'strain']","[1000000, 100000000, 10000, 1000, 1000000000]",Title,Values
"['bond', 'mess', 'star', 'throat', 'ring', 'pistol', 'skirt']","[6, 8, 8, 8, 8, 2, 5]",Accuracy of different algorithms,Accuracy
"['teeth', 'war']","[1000, 1000]",Title,Values
"['panel', 'dance', 'sound', 'flesh', 'motor', 'hell']","[60, 40, 20, 20, 50, 80]",Accuracy of different algorithms,Accuracy
"['sky', 'league', 'root', 'east']","[0, 1, 3, 4]",Title,Values
"['region', 'widow']","[90, 70]",Title,Values
"['honor', 'turn', 'unit', 'health', 'stake', 'hole', 'master', 'beard']","[70, 80, 10, 70, 40, 70, 50, 10]",Title,Values
"['glory', 'card', 'share']","[4, 1, 3]",Title,Values
"['faith', 'sweat', 'hurry', 'coast', 'system', 'view', 'output', 'luxury', 'fund']","[2, 6, 8, 7, 8, 4, 9, 8, 5]",Most preferred objects,Number of People
"['fist', 'return']","[100000000, 10]",Title,Values
"['critic', 'draft', 'north', 'piano', 'ease']","[7, 9, 5, 1, 3]",Most preferred objects,Number of People
"['wind', 'scene']","[80, 10]",Most preferred objects,Percent of People
"['grip', 'track', 'closet', 'pool', 'mood', 'lumber']","[9, 5, 2, 3, 2, 5]",Title,Values
"['hand', 'fly', 'career', 'regard', 'pure', 'yard', 'flow', 'twenty', 'error']","[4, 7, 2, 5, 9, 1, 7, 7, 3]",Sales statistics for different items,Units sold
"['ticket', 'phrase', 'shirt', 'coast', 'minute', 'motor', 'night']","[6, 5, 7, 1, 6, 5, 6]",Sales statistics for different items,Units sold
"['goal', 'twenty', 'honor', 'step', 'jungle']","[10, 80, 90, 80, 20]",Most preferred objects,Percent of People
"['melody', 'origin', 'trend']","[8, 5, 9]",Sales statistics for different items,Units sold
"['proof', 'job', 'screen', 'fund', 'plan', 'gown', 'sleep']","[9, 0, 3, 5, 8, 8, 8]",Title,Values
"['review', 'car', 'leg', 'winter', 'grain']","[50, 60, 30, 40, 50]",Title,Values
"['jazz', 'wealth', 'merger', 'gang', 'left', 'city', 'inside', 'poem', 'sitter']","[8, 1, 7, 5, 2, 0, 2, 9, 5]",Title,Values
"['top', 'pure', 'poet']","[4, 8, 6]",Most preferred objects,Number of People
"['scheme', 'beat', 'chair', 'money']","[1, 4, 3, 1]",Sales statistics for different items,Units sold
"['town', 'film', 'county', 'jail', 'set', 'fun', 'jar', 'appeal', 'act']","[4, 9, 9, 4, 7, 3, 8, 7, 3]",Sales statistics for different items,Units sold
"['proof', 'coffee', 'glance']","[4, 1, 7]",Sales statistics for different items,Units sold
"['press', 'cream', 'shell', 'name']","[70, 70, 90, 20]",Accuracy of different algorithms,Accuracy
"['jaw', 'panel', 'origin', 'sauce']","[4, 4, 7, 9]",Accuracy of different algorithms,Accuracy
"['team', 'legend', 'dome', 'target', 'soul', 'year', 'handle']","[4, 3, 7, 8, 2, 7, 4]",Title,Values
"['plate', 'rage', 'vector', 'brick']","[4, 9, 9, 5]",Accuracy of different algorithms,Accuracy
"['luck', 'kind']","[7, 6]",Title,Values
"['brand', 'prize', 'museum', 'north']","[7, 7, 2, 3]",Accuracy of different algorithms,Accuracy
"['cash', 'cent', 'nose', 'stage']","[9, 2, 6, 7]",Accuracy of different algorithms,Accuracy
"['model', 'spirit', 'bit', 'sun']","[20, 90, 30, 10]",Title,Values
"['clock', 'foam', 'saline', 'wonder']","[10000, 100000, 10000000, 10]",Title,Values
"['god', 'living', 'back', 'gain', 'drop', 'key']","[40, 40, 20, 30, 60, 30]",Title,Values
"['prison', 'fault', 'mirror', 'cellar', 'tree']","[1, 4, 8, 3, 6]",Most preferred objects,Number of People
"['yield', 'patent', 'pastor']","[70, 50, 30]",Title,Values
"['evil', 'movie', 'trip', 'horror']","[7, 5, 4, 4]",Title,Values
"['stress', 'break', 'trap', 'cause', 'load', 'bulk']","[3, 8, 3, 0, 1, 4]",Title,Values
"['file', 'camp', 'law', 'street']","[9, 5, 2, 6]",Title,Values
"['genius', 'bag', 'sale', 'glass']","[0, 2, 9, 1]",Title,Values
"['middle', 'sphere', 'wealth', 'laugh', 'smell', 'campus', 'grip']","[1, 8, 9, 2, 7, 9, 4]",Most preferred objects,Number of People
"['price', 'skirt', 'bank', 'rise']","[4, 2, 4, 2]",Accuracy of different algorithms,Accuracy
"['sun', 'harm', 'dance', 'pencil', 'share']","[8, 3, 2, 6, 5]",Title,Values
"['fish', 'widow', 'agency']","[2, 8, 4]",Accuracy of different algorithms,Accuracy
"['beauty', 'bay', 'hall', 'gate']","[20, 70, 90, 40]",Accuracy of different algorithms,Accuracy
"['bent', 'spite', 'voyage', 'ticket']","[90, 50, 30, 80]",Title,Values
"['day', 'garden', 'saline', 'speech', 'area', 'wage']","[6, 4, -8, 6, 1, 9]",Title,Values
"['west', 'cotton', 'autumn', 'hole', 'attack', 'travel', 'band', 'union', 'police']","[10, 20, 50, 90, 70, 70, 20, 50, 10]",Accuracy of different algorithms,Accuracy
"['sitter', 'sport', 'season', 'mass']","[8, 4, 9, 9]",Most preferred objects,Number of People
"['cure', 'show', 'mold', 'doubt', 'chair', 'object', 'smoke', 'hat', 'mark']","[4, 1, 4, 4, 7, 1, 7, 7, 9]",Sales statistics for different items,Units sold
"['fist', 'poet', 'axis', 'neck', 'finger', 'auto']","[2, 2, 7, 3, 9, 7]",Most preferred objects,Number of People
"['unit', 'level', 'host', 'motel', 'comedy']","[5, 6, 2, 7, 5]",Title,Values
"['tone', 'foot', 'rest']","[9, 2, 2]",Accuracy of different algorithms,Accuracy
"['kid', 'scheme', 'cast', 'role', 'fluid', 'tone']","[4, 8, 1, 2, 1, 3]",Accuracy of different algorithms,Accuracy
"['wise', 'taste', 'food', 'cent']","[8, 7, 4, 9]",Title,Values
"['cellar', 'flight', 'flash', 'wood', 'flood', 'school', 'luxury', 'pond']","[6, 3, 9, 6, 2, 1, 9, 9]",Most preferred objects,Number of People
"['act', 'crisis', 'police', 'camp', 'autumn']","[7, 4, 3, 9, 9]",Accuracy of different algorithms,Accuracy
"['heart', 'beef', 'essay', 'sleep']","[9, 8, 1, 2]",Most preferred objects,Number of People
"['drink', 'bit', 'band', 'kid', 'play', 'relief']","[5, 3, 5, 6, 2, 3]",Most preferred objects,Number of People
"['right', 'color', 'minute']","[4, 3, 7]",Title,Values
"['half', 'grant', 'lawyer', 'water', 'cup', 'safety']","[70, 50, 10, 20, 60, 40]",Most preferred objects,Percent of People
"['steel', 'close']","[4, 3]",Accuracy of different algorithms,Accuracy
"['food', 'vector', 'tissue']","[4, 5, 2]",Title,Values
"['wait', 'film', 'inch']","[3, 5, 2]",Accuracy of different algorithms,Accuracy
"['doctor', 'salary', 'love', 'hill', 'smoke']","[7, 7, 6, 7, 4]",Accuracy of different algorithms,Accuracy
"['grip', 'scale', 'flight', 'shop', 'fact', 'sister', 'steel', 'jacket']","[60, 50, 10, 50, 90, 10, 40, 60]",Title,Values
"['plot', 'guy', 'campus', 'clouds', 'notion', 'west', 'teeth']","[50, 20, 80, 50, 50, 10, 90]",Most preferred objects,Percent of People
"['dinner', 'flux', 'talent', 'joy']","[-7, 4, 6, 6]",Title,Values
"['prayer', 'hour']","[8, 1]",Title,Values
"['disk', 'steel']","[8, 4]",Most preferred objects,Number of People
"['voyage', 'desire', 'use', 'lesson']","[80, 30, 50, 10]",Title,Values
"['talent', 'target', 'sorry', 'career']","[9, 8, 4, 6]",Title,Values
"['effort', 'limit', 'legend']","[80, 20, 60]",Title,Values
"['wood', 'board', 'cure', 'herd', 'anode']","[5, 7, 3, 7, 9]",Sales statistics for different items,Units sold
"['sign', 'reply', 'number']","[9, 5, 4]",Accuracy of different algorithms,Accuracy
"['lady', 'area']","[7, 1]",Sales statistics for different items,Units sold
"['camera', 'pink']","[4, 3]",Accuracy of different algorithms,Accuracy
"['origin', 'park', 'trend', 'theme']","[90, 70, 20, 40]",Most preferred objects,Percent of People
"['joy', 'tie', 'behalf', 'safety', 'cause']","[8, 9, 3, 4, 2]",Most preferred objects,Number of People
"['south', 'ease', 'call', 'role', 'random']","[3, 1, 8, 9, 1]",Title,Values
"['face', 'blind']","[3, 6]",Sales statistics for different items,Units sold
"['lot', 'route', 'date', 'aspect', 'ground', 'youth', 'roof', 'heard', 'study']","[100000, 10000000, 100000, 100, 100000000, 1000000000, 100000000, 10000000, 100000]",Title,Values
"['plant', 'home', 'boy', 'phrase', 'salary', 'skin', 'flight']","[8, 1, 6, 2, 4, 1, 9]",Accuracy of different algorithms,Accuracy
"['dealer', 'press', 'past', 'wave']","[80, 20, 80, 80]",Accuracy of different algorithms,Accuracy
"['wash', 'part', 'fist', 'reply', 'kid']","[8, 7, 6, 8, 2]",Sales statistics for different items,Units sold
"['cure', 'vein', 'notice', 'sera', 'grass', 'range', 'grace']","[10000, 100000000, 10, 1000000000, 1000000, 1000, 100000000]",Title,Values
"['rifle', 'none']","[6, 9]",Accuracy of different algorithms,Accuracy
"['key', 'course', 'luxury', 'hope', 'hung', 'editor']","[4, 3, 6, 7, 5, 9]",Sales statistics for different items,Units sold
"['oil', 'ballet', 'dollar']","[7, 9, 8]",Title,Values
"['stairs', 'owner', 'evil', 'terror', 'sugar', 'critic', 'sera', 'means', 'baby']","[4, 9, 3, 4, 9, 7, 4, 6, 2]",Sales statistics for different items,Units sold
"['event', 'lunch', 'light', 'teeth', 'beauty', 'hat', 'party', 'hen', 'gown']","[7, 5, 5, 6, 2, 2, 1, 2, 6]",Title,Values
"['set', 'uncle']","[50, 20]",Accuracy of different algorithms,Accuracy
"['chest', 'season', 'slope', 'book', 'color', 'girl']","[8, 6, 9, 2, 6, 5]",Accuracy of different algorithms,Accuracy
"['pair', 'move', 'head', 'blind']","[6, 9, 2, 6]",Sales statistics for different items,Units sold
"['branch', 'air', 'speed', 'career', 'union']","[7, 3, 8, 3, 3]",Accuracy of different algorithms,Accuracy
"['part', 'injury']","[6, 4]",Most preferred objects,Number of People
"['earth', 'scheme', 'temple', 'salt', 'letter', 'one', 'jazz', 'combat']","[8, 3, 4, 4, 6, 5, 7, 3]",Title,Values
"['movie', 'luck', 'manner']","[4, 6, 5]",Most preferred objects,Number of People
"['month', 'inside', 'phrase', 'twenty', 'fund', 'humor']","[6, 5, 9, 3, 9, 2]",Most preferred objects,Number of People
"['seed', 'count']","[2, 9]",Sales statistics for different items,Units sold
"['list', 'while', 'term', 'knife', 'fight', 'course']","[3, 2, 2, 3, 3, 5]",Most preferred objects,Number of People
"['rail', 'fate', 'shell', 'crisis']","[2, 5, 7, 5]",Sales statistics for different items,Units sold
"['child', 'page', 'melody', 'middle', 'sin']","[2, 9, 9, 9, 7]",Sales statistics for different items,Units sold
"['bank', 'dress']","[8, 4]",Title,Values
"['post', 'living', 'sphere', 'part', 'body', 'trend', 'role']","[8, 4, 8, 9, 9, 9, 5]",Accuracy of different algorithms,Accuracy
"['smell', 'length']","[6, 2]",Sales statistics for different items,Units sold
"['sister', 'estate', 'rise']","[90, 10, 90]",Most preferred objects,Percent of People
"['room', 'shell']","[40, 70]",Most preferred objects,Percent of People
"['hair', 'truck', 'planet', 'barn', 'kind']","[3, 7, 1, 3, 8]",Accuracy of different algorithms,Accuracy
"['grave', 'shift', 'limit', 'reader', 'radar', 'thick']","[6, 3, 6, 6, 5, 1]",Accuracy of different algorithms,Accuracy
"['chance', 'circle', 'hold', 'throat']","[100000000, 100000, 100000000, 1000000]",Title,Values
"['cold', 'get', 'temple', 'sort']","[10, 70, 20, 90]",Title,Values
"['nobody', 'cover', 'hen']","[8, 6, 2]",Title,Values
"['lady', 'battle', 'victim', 'phase']","[70, 60, 80, 20]",Title,Values
"['fit', 'branch', 'soil', 'pause', 'coat']","[70, 70, 80, 40, 70]",Title,Values
"['screen', 'text', 'luck', 'lamp', 'input', 'bed', 'answer', 'post']","[2, 5, 9, 4, 8, 9, 6, 4]",Sales statistics for different items,Units sold
"['regime', 'nose', 'city', 'club', 'tube']","[3, 6, 1, 1, 6]",Most preferred objects,Number of People
"['cabin', 'plant', 'barn', 'iron']","[3, 4, 8, 3]",Most preferred objects,Number of People
"['run', 'club', 'duty', 'column', 'face', 'match']","[90, 20, 30, 30, 30, 40]",Most preferred objects,Percent of People
"['turn', 'cheek', 'child', 'lesson', 'stream', 'bond']","[3, 3, 6, 9, 4, -7]",Title,Values
"['motel', 'remark', 'trail', 'peace', 'camera', 'pink', 'rank', 'cap']","[1, 1, 6, 2, 8, 5, 7, 4]",Sales statistics for different items,Units sold
"['vote', 'grant', 'stick', 'stroke', 'bill', 'tea']","[20, 90, 80, 30, 90, 80]",Accuracy of different algorithms,Accuracy
"['unity', 'ward', 'pool', 'judge', 'staff', 'beach']","[5, 8, 4, -4, 9, 4]",Title,Values
"['random', 'cloud', 'match', 'chorus', 'supper']","[6, 7, 6, 1, 8]",Most preferred objects,Number of People
"['dinner', 'ranch', 'guide', 'medium', 'basket', 'person', 'top', 'tissue', 'talk']","[6, 6, 7, 5, 7, 1, 7, 8, 3]",Most preferred objects,Number of People
"['lap', 'pilot', 'answer', 'proof', 'canvas', 'sir', 'staff']","[20, 30, 40, 80, 40, 20, 50]",Most preferred objects,Percent of People
"['blind', 'union', 'kind']","[5, 7, 1]",Most preferred objects,Number of People
"['back', 'driver', 'comedy', 'scheme']","[30, 90, 70, 30]",Accuracy of different algorithms,Accuracy
"['source', 'roof', 'code', 'road']","[3, 7, 9, 8]",Sales statistics for different items,Units sold
"['job', 'bridge']","[7, 0]",Title,Values
"['grace', 'beach', 'rule']","[20, 10, 80]",Accuracy of different algorithms,Accuracy
"['loan', 'sign', 'output', 'cotton', 'lesson']","[8, 9, 8, 8, 6]",Title,Values
"['band', 'myth', 'book', 'axis', 'skill']","[9, 6, 6, 6, 7]",Sales statistics for different items,Units sold
"['scope', 'sound', 'porch', 'patent', 'attack', 'unit', 'god']","[10, 40, 70, 80, 90, 30, 20]",Title,Values
"['evil', 'cloth', 'loan', 'radio', 'labor', 'nose', 'death']","[6, 9, 2, 7, 6, 7, 6]",Most preferred objects,Number of People
"['means', 'origin', 'shirt']","[8, 1, 1]",Most preferred objects,Number of People
"['check', 'speed', 'unity', 'grace', 'fact', 'lesson', 'time']","[5, 1, 9, 4, 9, 0, 3]",Title,Values
"['drop', 'energy', 'river', 'root']","[4, 6, 0, 6]",Title,Values
"['genius', 'foil', 'sweat', 'pool', 'flux', 'symbol', 'demand', 'blind']","[1, 7, 9, 2, 8, 2, 4, 8]",Most preferred objects,Number of People
"['ocean', 'fog', 'anode', 'act', 'escape']","[7, 5, 7, 4, 4]",Most preferred objects,Number of People
"['spot', 'folk', 'number', 'mad', 'shore', 'sort', 'theory']","[9, 1, 1, 4, 3, 2, 8]",Title,Values
"['right', 'bar']","[2, 2]",Accuracy of different algorithms,Accuracy
"['good', 'goal', 'voice', 'switch']","[40, 30, 80, 50]",Accuracy of different algorithms,Accuracy
"['shame', 'curve', 'core', 'legend', 'enemy', 'tape', 'clay', 'action']","[9, 6, 8, 3, 4, 1, 5, 8]",Title,Values
"['foot', 'power', 'denial']","[-5, -6, 4]",Title,Values
"['jar', 'bridge', 'effort', 'shell', 'fool', 'period']","[4, -1, 1, 7, 5, 8]",Title,Values
"['sense', 'butter', 'height', 'heart']","[1, 7, 5, 1]",Most preferred objects,Number of People
"['poem', 'change']","[8, 1]",Sales statistics for different items,Units sold
"['beat', 'angle', 'court', 'milk', 'touch', 'cabin']","[3, 4, 9, 7, 7, 9]",Accuracy of different algorithms,Accuracy
"['cool', 'stress']","[10, 10]",Title,Values
"['court', 'radio', 'county', 'war', 'heat']","[5, 9, 6, 7, 2]",Title,Values
"['space', 'scene', 'bank']","[8, 9, 8]",Title,Values
"['male', 'corner', 'grip', 'run', 'inch', 'waste', 'mark', 'lip']","[90, 30, 20, 20, 80, 70, 90, 50]",Most preferred objects,Percent of People
"['honor', 'union', 'knee', 'beat', 'today', 'drop', 'risk', 'close', 'horror']","[5, 4, 7, 5, 2, 5, 7, 3, 6]",Sales statistics for different items,Units sold
"['wash', 'heart', 'army', 'whole', 'twelve']","[80, 50, 70, 10, 10]",Most preferred objects,Percent of People
"['voyage', 'fog', 'unit', 'name']","[20, 90, 50, 30]",Title,Values
"['part', 'money', 'ball']","[60, 90, 30]",Most preferred objects,Percent of People
"['ratio', 'panel']","[9, 2]",Sales statistics for different items,Units sold
"['well', 'river', 'inch', 'radio', 'boy']","[7, 3, 3, 9, 6]",Title,Values
"['sister', 'box', 'screen']","[8, 3, 1]",Most preferred objects,Number of People
"['region', 'date', 'moment']","[4, 4, 2]",Most preferred objects,Number of People
"['dream', 'clerk', 'soul', 'league', 'test', 'room', 'sera', 'opera', 'roof']","[20, 30, 80, 30, 20, 40, 60, 10, 80]",Accuracy of different algorithms,Accuracy
"['color', 'rate', 'agency', 'bare', 'study']","[50, 10, 40, 40, 30]",Title,Values
"['bone', 'left', 'widow']","[50, 90, 10]",Accuracy of different algorithms,Accuracy
"['movie', 'child', 'load', 'foam']","[6, 8, 1, 1]",Title,Values
"['drop', 'past', 'hair', 'slope', 'diet']","[5, 4, 1, 1, 7]",Most preferred objects,Number of People
"['crop', 'issue', 'bit', 'bath']","[6, 1, 4, 4]",Most preferred objects,Number of People
"['light', 'end', 'stem']","[6, 1, 6]",Sales statistics for different items,Units sold
"['feed', 'sale', 'seed', 'text', 'parlor', 'driver', 'stage', 'tie', 'horror']","[9, 5, 1, 9, 4, 7, 5, 4, 6]",Most preferred objects,Number of People
"['close', 'detail', 'dive', 'county', 'powder', 'moon', 'plug']","[100, 100, 1000, 10000000, 10, 100, 1000]",Title,Values
"['career', 'pool', 'hair', 'stuff', 'impact', 'danger', 'fee', 'device', 'coffee']","[60, 10, 70, 20, 30, 70, 60, 70, 20]",Most preferred objects,Percent of People
"['chin', 'jazz', 'store']","[4, 9, 9]",Sales statistics for different items,Units sold
"['system', 'hill']","[80, 70]",Title,Values
"['door', 'making', 'mean', 'crime', 'mold', 'title', 'adult', 'dealer', 'gay']","[9, -5, 1, -9, 9, 8, 5, 1, -7]",Title,Values
"['escape', 'note', 'ground', 'radio']","[4, 8, 2, 6]",Title,Values
"['chest', 'mail', 'island', 'milk', 'blue', 'wait', 'sum']","[40, 10, 60, 90, 50, 30, 90]",Most preferred objects,Percent of People
"['guitar', 'debate', 'bench', 'threat', 'focus', 'half', 'bottom']","[3, 2, 5, 5, 3, 4, 2]",Sales statistics for different items,Units sold
"['chip', 'skin', 'knife']","[1, 5, 1]",Title,Values
"['fog', 'bundle', 'wine', 'frame']","[2, 3, 9, 8]",Sales statistics for different items,Units sold
"['future', 'flavor', 'random', 'prayer', 'motion', 'guilt']","[5, 5, 8, 3, 8, 7]",Title,Values
"['phone', 'joke', 'wash', 'drunk']","[40, 20, 40, 30]",Title,Values
"['dear', 'plant', 'patent', 'round', 'inside', 'agent']","[4, 9, 5, 5, 8, 3]",Most preferred objects,Number of People
"['belt', 'farmer']","[5, 6]",Accuracy of different algorithms,Accuracy
"['crash', 'comedy', 'peace', 'victim']","[4, -1, 8, 1]",Title,Values
"['grain', 'tail', 'trust', 'office', 'pain', 'loss']","[3, 5, 1, 5, 6, 7]",Accuracy of different algorithms,Accuracy
"['stop', 'end', 'breath']","[5, 2, 4]",Title,Values
"['rise', 'share', 'minute', 'vertex', 'load', 'power']","[40, 60, 40, 50, 40, 90]",Title,Values
"['fit', 'moment']","[8, -3]",Title,Values
"['shore', 'label', 'jar', 'golf', 'start', 'way', 'deck']","[9, 6, 6, 1, 8, 1, 2]",Most preferred objects,Number of People
"['foam', 'house', 'birth']","[70, 70, 10]",Accuracy of different algorithms,Accuracy
"['pass', 'strip']","[4, 1]",Most preferred objects,Number of People
"['wisdom', 'crew', 'cell', 'doubt', 'plug']","[30, 10, 90, 60, 40]",Title,Values
"['jar', 'field', 'middle', 'tire']","[2, 6, 3, 7]",Accuracy of different algorithms,Accuracy
"['gun', 'shirt', 'bag']","[8, 8, 1]",Sales statistics for different items,Units sold
"['milk', 'mean', 'parade', 'radar']","[9, 9, 6, 2]",Most preferred objects,Number of People
"['second', 'output', 'hay']","[10, 1000000000, 1000000000]",Title,Values
"['lady', 'museum', 'file']","[10, 50, 80]",Title,Values
"['rise', 'seat', 'iodine', 'finger', 'cloth', 'estate']","[6, 1, 7, 6, 7, 4]",Most preferred objects,Number of People
"['oxygen', 'midst']","[60, 90]",Most preferred objects,Percent of People
"['melody', 'screen', 'act']","[8, 3, 7]",Most preferred objects,Number of People
"['factor', 'walk', 'verse']","[100000000, 10000000, 1000000]",Title,Values
"['heat', 'planet', 'tire', 'mud', 'effort']","[10, 50, 20, 80, 20]",Title,Values
"['aid', 'boy', 'cloud']","[80, 10, 40]",Accuracy of different algorithms,Accuracy
"['agency', 'rush', 'means']","[5, 8, 5]",Most preferred objects,Number of People
"['dining', 'life']","[-8, 9]",Title,Values
