labels,values,title,value_heading,code
"['animal', 'lack', 'stream']","[7, 7, 6]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['animal', 'lack', 'stream']
values = [7, 7, 6]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#dd7921')  # Plot the bars with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['vector', 'form', 'pink']","[70, 20, 90]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['vector', 'form', 'pink']
values = [70, 20, 90]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#16d6f8')  # Plot the bars with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['unit', 'dance', 'bundle', 'loss', 'virtue', 'eye', 'suit', 'brand']","[70, 90, 80, 30, 80, 70, 90, 30]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['unit', 'dance', 'bundle', 'loss', 'virtue', 'eye', 'suit', 'brand']
values = [70, 90, 80, 30, 80, 70, 90, 30]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#e00967')  # Plot the bars with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['ocean', 'store', 'museum', 'stop']","[8, 6, 7, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['ocean', 'store', 'museum', 'stop']
values = [8, 6, 7, 4]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#142227')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Values', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['lesson', 'pile', 'school', 'data', 'color', 'store', 'pink', 'lamp', 'clerk']","[3, 4, 1, 1, 3, 6, 7, 6, 6]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['lesson', 'pile', 'school', 'data', 'color', 'store', 'pink', 'lamp', 'clerk']
values = [3, 4, 1, 1, 3, 6, 7, 6, 6]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#5062f0')  # Plot the bars with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['jar', 'agent']","[60, 90]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['jar', 'agent']
values = [60, 90]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#d2fa22')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Percent of People', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['shirt', 'harbor', 'tip', 'center', 'medium', 'evil', 'world']","[4, 9, 8, 6, 1, 1, 8]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['shirt', 'harbor', 'tip', 'center', 'medium', 'evil', 'world']
values = [4, 9, 8, 6, 1, 1, 8]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#f073ef')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['chance', 'cause', 'dress']","[8, 3, 1]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['chance', 'cause', 'dress']
values = [8, 3, 1]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#d8ce42')  # Plot the bars with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['art', 'mark', 'killer', 'bowl']","[4, 9, 5, 2]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['art', 'mark', 'killer', 'bowl']
values = [4, 9, 5, 2]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#81143d')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['living', 'sewage', 'sight', 'weight', 'mile', 'chip']","[9, 4, 4, 6, 1, 8]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['living', 'sewage', 'sight', 'weight', 'mile', 'chip']
values = [9, 4, 4, 6, 1, 8]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#97a52e')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['wit', 'artist', 'news', 'milk']","[6, 9, 2, 9]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['wit', 'artist', 'news', 'milk']
values = [6, 9, 2, 9]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#a7aff7')  # Plot the bars with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['twelve', 'glance', 'golf', 'wagon', 'anger', 'health', 'fan', 'paper']","[7, 4, 6, 4, 3, 6, 1, 3]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['twelve', 'glance', 'golf', 'wagon', 'anger', 'health', 'fan', 'paper']
values = [7, 4, 6, 4, 3, 6, 1, 3]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#54b92c')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['craft', 'notion', 'result', 'health', 'sun']","[2, 9, -8, 5, 5]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['craft', 'notion', 'result', 'health', 'sun']
values = [2, 9, -8, 5, 5]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#a93e6d')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['spread', 'desk', 'stroke', 'star', 'land']","[60, 60, 0, 60, 30]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['spread', 'desk', 'stroke', 'star', 'land']
values = [60, 60, 0, 60, 30]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#ff3c73')  # Plot the bars with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['fund', 'winter', 'joy', 'result', 'garage']","[6, 1, 7, 6, 6]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['fund', 'winter', 'joy', 'result', 'garage']
values = [6, 1, 7, 6, 6]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#79bb9d')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['piece', 'female', 'value', 'stock', 'flux', 'run']","[3, 6, 8, 5, 7, 6]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['piece', 'female', 'value', 'stock', 'flux', 'run']
values = [3, 6, 8, 5, 7, 6]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#16fe9e')  # Plot the bars with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['track', 'prison', 'powder', 'line']","[6, 6, 2, 4]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['track', 'prison', 'powder', 'line']
values = [6, 6, 2, 4]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#5d2261')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['sale', 'pain', 'mind', 'neck', 'study', 'reply']","[4, 1, 6, 2, 6, 7]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['sale', 'pain', 'mind', 'neck', 'study', 'reply']
values = [4, 1, 6, 2, 6, 7]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#93e79a')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Values', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['chin', 'art', 'drama', 'butter', 'show']","[6, 4, 4, 9, 4]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['chin', 'art', 'drama', 'butter', 'show']
values = [6, 4, 4, 9, 4]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#5bc70e')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['bag', 'ring']","[8, 3]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['bag', 'ring']
values = [8, 3]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#cfb921')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['island', 'profit', 'loan']","[6, 1, 7]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['island', 'profit', 'loan']
values = [6, 1, 7]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#87b0bf')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['mark', 'female', 'storm', 'iodine']","[1, 7, 5, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['mark', 'female', 'storm', 'iodine']
values = [1, 7, 5, 4]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#82b94e')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Values', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['pistol', 'plant', 'demand']","[10000, 10000, 1000]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['pistol', 'plant', 'demand']
values = [10000, 10000, 1000]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#ff225e')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Values', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['cloud', 'pain', 'base', 'point', 'week', 'making']","[1000000000, 100000000, 1000000, 100, 1000000, 10000000]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['cloud', 'pain', 'base', 'point', 'week', 'making']
values = [1000000000, 100000000, 1000000, 100, 1000000, 10000000]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#6cddbf')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Values', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['flesh', 'stream', 'heat']","[9, 2, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['flesh', 'stream', 'heat']
values = [9, 2, 4]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#ad5eea')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Values', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['knife', 'choice']","[3, 2]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['knife', 'choice']
values = [3, 2]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#64f9ac')  # Plot the bars with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['era', 'move']","[2, 3]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['era', 'move']
values = [2, 3]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#021946')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Values', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['comedy', 'file', 'cereal', 'work', 'wind', 'touch', 'size']","[-8, 4, -5, 6, 3, 1, 1]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['comedy', 'file', 'cereal', 'work', 'wind', 'touch', 'size']
values = [-8, 4, -5, 6, 3, 1, 1]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#328385')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Values', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['stop', 'well', 'scale']","[80, 60, 60]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['stop', 'well', 'scale']
values = [80, 60, 60]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#b4639e')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Values', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['region', 'desire', 'sky']","[8, 6, 4]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['region', 'desire', 'sky']
values = [8, 6, 4]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#63d37e')  # Plot the bars with a random color

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Values', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['corn', 'novel', 'point', 'stay', 'bottom', 'finger']","[8, 7, 9, 4, 7, 6]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['corn', 'novel', 'point', 'stay', 'bottom', 'finger']
values = [8, 7, 9, 4, 7, 6]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#a0ba44')  # Plot the bars with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['cut', 'death', 'corner', 'bomb', 'vein', 'limit']","[6, 7, 4, 5, 5, 3]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['cut', 'death', 'corner', 'bomb', 'vein', 'limit']
values = [6, 7, 4, 5, 5, 3]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#a9c512')  # Plot the bars with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['dive', 'board', 'pass', 'result', 'joke']","[30, 30, 60, 60, 70]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['dive', 'board', 'pass', 'result', 'joke']
values = [30, 30, 60, 60, 70]

# Creating the bar chart
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.bar(categories, values, color='#b0e7b3')  # Plot the bars with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Percent of People', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
